Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
32.308498	0.027622	0.198658	0.200569	22.452553	0.010002	0.401818	170.859353	170.859353	170.859353	0.791547	0.001196	2.830000	800.547750	282.937833	1.167823
32.773887	0.028417	0.201434	0.203429	22.948007	0.010002	0.401863	170.726717	170.726717	170.726717	0.791791	0.001266	2.830000	800.537456	282.935915	1.184782
33.245979	0.029233	0.204247	0.206328	23.443418	0.010002	0.401910	170.592128	170.592128	170.592128	0.792041	0.001341	2.830000	800.526842	282.933934	1.201991
33.724872	0.030074	0.207096	0.209268	23.938785	0.010002	0.401959	170.455557	170.455557	170.455557	0.792299	0.001420	2.830000	800.515897	282.931888	1.219454
34.210663	0.030938	0.209982	0.212249	24.434107	0.010002	0.402008	170.316973	170.316973	170.316973	0.792564	0.001503	2.830000	800.504611	282.929775	1.237175
34.703452	0.031826	0.212906	0.215271	24.929382	0.010003	0.402059	170.176345	170.176345	170.176345	0.792836	0.001592	2.830000	800.492972	282.927593	1.255157
35.203338	0.032740	0.215867	0.218336	25.424608	0.010003	0.402111	170.033641	170.033641	170.033641	0.793116	0.001685	2.830000	800.480969	282.925340	1.273406
35.710426	0.033680	0.218867	0.221443	25.919784	0.010003	0.402165	169.888830	169.888830	169.888830	0.793404	0.001785	2.830000	800.468589	282.923011	1.291925
36.224818	0.034646	0.221904	0.224593	26.414909	0.010003	0.402220	169.741880	169.741880	169.741880	0.793700	0.001890	2.830000	800.455820	282.920606	1.310718
36.746619	0.035640	0.224981	0.227786	26.909981	0.010003	0.402277	169.592756	169.592756	169.592756	0.794005	0.002001	2.830000	800.442649	282.918121	1.329789
37.275937	0.036662	0.228097	0.231024	27.404998	0.010003	0.402336	169.441425	169.441425	169.441425	0.794317	0.002119	2.830000	800.429062	282.915554	1.349144
37.812880	0.037713	0.231252	0.234307	27.899959	0.010003	0.402396	169.287853	169.287853	169.287853	0.794639	0.002243	2.830000	800.415045	282.912900	1.368785
38.357556	0.038793	0.234447	0.237635	28.394862	0.010003	0.402458	169.132005	169.132005	169.132005	0.794969	0.002375	2.830000	800.400585	282.910158	1.388719
38.910079	0.039905	0.237682	0.241009	28.889706	0.010003	0.402521	168.973845	168.973845	168.973845	0.795309	0.002515	2.830000	800.385664	282.907323	1.408949
39.470560	0.041047	0.240957	0.244429	29.384487	0.010003	0.402586	168.813338	168.813338	168.813338	0.795658	0.002663	2.830000	800.370269	282.904393	1.429480
40.039115	0.042222	0.244274	0.247896	29.879205	0.010003	0.402653	168.650446	168.650446	168.650446	0.796017	0.002820	2.830000	800.354382	282.901364	1.450316
40.615860	0.043430	0.247631	0.251411	30.373857	0.010004	0.402722	168.485133	168.485133	168.485133	0.796386	0.002985	2.830000	800.337988	282.898232	1.471464
41.200912	0.044672	0.251030	0.254974	30.868442	0.010004	0.402793	168.317359	168.317359	168.317359	0.796765	0.003161	2.830000	800.321068	282.894993	1.492926
41.794392	0.045949	0.254470	0.258586	31.362956	0.010004	0.402865	168.147087	168.147087	168.147087	0.797154	0.003347	2.830000	800.303604	282.891643	1.514709
